instance,variant,kappa1,rows,basic_structural,basic_slack,singular,mip_obj,mip_gap,note
instance029.txt,Base,468489354921.76764,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance029.txt,SA-Aug,236642231042.7214,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance029.txt,Flat-Aug,13564684403.112326,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance029.txt,SA-Mat,236642270054.4247,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance029.txt,Flat-Mat,5070719637.403888,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance029.txt,Ruiz,823981381806.6575,10080,3960,6120,0,-3063333.3325791927,0.0008969321778897272,
instance030.txt,Base,467974524138.364,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance030.txt,SA-Aug,239447159740.09955,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance030.txt,Flat-Aug,10389484269.701353,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance030.txt,SA-Mat,239447199214.1931,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance030.txt,Flat-Mat,5130823055.819767,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance030.txt,Ruiz,850707245417.7163,10080,3960,6120,0,-2524157.6306614787,0.00020331532279656717,
instance031.txt,Base,353445473252.58856,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance031.txt,SA-Aug,92124809716.9064,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance031.txt,Flat-Aug,7808107368.3596525,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance031.txt,SA-Mat,70729199422.87936,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance031.txt,Flat-Mat,1514656742.1759748,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance031.txt,Ruiz,645193780897.4943,10080,3657,6423,0,-1542528.0,3.0188190250532845e-16,
instance032.txt,Base,258663380661.77808,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance032.txt,SA-Aug,133698575286.85606,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance032.txt,Flat-Aug,6413103431.992404,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance032.txt,SA-Mat,133699025593.93443,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance032.txt,Flat-Mat,2864873948.449735,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance032.txt,Ruiz,1001012254320.4924,10080,3003,7077,0,-2181231.0,2.1348554431316044e-16,
instance033.txt,Base,26415466328.811054,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance033.txt,SA-Aug,38957770263.645515,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance033.txt,Flat-Aug,180570169.51621702,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance033.txt,SA-Mat,5320381637.367232,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance033.txt,Flat-Mat,113090670.61957364,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance033.txt,Ruiz,146486509731.8346,10080,2413,7667,0,-2.959260767848233e-11,inf,
instance034.txt,Base,385222496756.78754,10080,2438,7642,0,0.0,0.0,
instance034.txt,SA-Aug,184655046036.61624,10080,2438,7642,0,0.0,0.0,
instance034.txt,Flat-Aug,4619840552.951192,10080,2438,7642,0,0.0,0.0,
instance034.txt,SA-Mat,77084466939.54507,10080,2438,7642,0,0.0,0.0,
instance034.txt,Flat-Mat,1650836046.8720477,10080,2438,7642,0,0.0,0.0,
instance034.txt,Ruiz,556430316767.556,10080,2438,7642,0,0.0,0.0,
instance035.txt,Base,438732713105.96783,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance035.txt,SA-Aug,267491548862.89172,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance035.txt,Flat-Aug,11824166189.786385,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance035.txt,SA-Mat,267491598599.32544,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance035.txt,Flat-Mat,5728694526.793291,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance035.txt,Ruiz,2349885031009.915,10080,3960,6120,0,453658.04958326486,3.2347111972906393,
instance042.txt,Base,448111711089.3275,10080,3760,6320,0,-510159.0,0.0,
instance042.txt,SA-Aug,214806107245.59946,10080,3760,6320,0,-510159.0,0.0,
instance042.txt,Flat-Aug,12404931033.366356,10080,3760,6320,0,-510159.0,0.0,
instance042.txt,SA-Mat,89663525892.11635,10080,3760,6320,0,-510159.0,0.0,
instance042.txt,Flat-Mat,1920377415.0992653,10080,3760,6320,0,-510159.0,0.0,
instance042.txt,Ruiz,632770513410.969,10080,3760,6320,0,-510159.0,0.0,
instance043.txt,Base,28714437865.76962,10080,2412,7668,0,0.0,0.0,
instance043.txt,SA-Aug,45801997108.47019,10080,2412,7668,0,0.0,0.0,
instance043.txt,Flat-Aug,305691957.7469735,10080,2412,7668,0,0.0,0.0,
instance043.txt,SA-Mat,5780230764.7899475,10080,2412,7668,0,0.0,0.0,
instance043.txt,Flat-Mat,122944218.76263839,10080,2412,7668,0,0.0,0.0,
instance043.txt,Ruiz,174684336584.22678,10080,2412,7668,0,0.0,0.0,
instance044.txt,Base,497180226273.5931,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance044.txt,SA-Aug,281670599990.52625,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance044.txt,Flat-Aug,14892483022.3742,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance044.txt,SA-Mat,270997060052.9831,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance044.txt,Flat-Mat,5806866684.355864,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance044.txt,Ruiz,1598882039983.993,10080,3961,6119,0,-541303.4336243976,0.0007498334568976606,
instance045.txt,Base,489221860709.81854,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
instance045.txt,SA-Aug,302932559267.3415,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
instance045.txt,Flat-Aug,12069525064.257286,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
instance045.txt,SA-Mat,302932590079.8241,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
instance045.txt,Flat-Mat,6491174349.257662,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
