class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso04b.txt,Augmented,20,20,0.048713,0.008367,0.040347,0.048282,0.008191,0.0077,0.0216,0.0067,0.0185,0.039842,0.000194,0.004380,0.004136,0.004408,0.003955,0.008775,0.008115
Simple,caso04b.txt,Matrix-only,20,20,0.050906,0.008327,0.042580,0.049539,0.007999,0.0164,0.0529,0.0282,0.0393,0.040760,0.000195,0.004313,0.004124,0.005659,0.003935,0.009968,0.008071
Simple,caso04c.txt,Augmented,20,20,0.049499,0.008301,0.041198,0.048297,0.008040,0.0120,0.0149,0.0191,0.0206,0.040657,0.000193,0.004322,0.004096,0.004397,0.003937,0.008714,0.008041
Simple,caso04c.txt,Matrix-only,20,20,0.050760,0.008274,0.042486,0.049797,0.008049,0.0183,0.0592,0.0122,0.0917,0.040764,0.000195,0.004279,0.004070,0.005656,0.003927,0.009939,0.008022
Simple,caso04d.txt,Augmented,20,20,0.049132,0.008299,0.040833,0.048292,0.008119,0.4618,0.0286,0.0234,0.0166,0.040313,0.000194,0.004325,0.004098,0.004409,0.003947,0.008746,0.008041
Simple,caso04d.txt,Matrix-only,20,20,0.050801,0.008396,0.042405,0.049420,0.008105,0.0103,0.0468,0.0124,0.0400,0.040572,0.000193,0.004325,0.004183,0.005674,0.003927,0.010016,0.008133
Simple,caso04e.txt,Augmented,20,20,0.048649,0.008272,0.040377,0.047813,0.008015,0.0196,0.0595,0.0101,0.0176,0.039843,0.000195,0.004266,0.004059,0.004380,0.003948,0.008662,0.008013
Simple,caso04e.txt,Matrix-only,20,20,0.049323,0.008064,0.041259,0.048829,0.007910,0.0073,0.0098,0.0110,0.0107,0.039564,0.000194,0.004127,0.003888,0.005601,0.003908,0.009728,0.007808
Simple,caso04f.txt,Augmented,20,20,0.048585,0.008343,0.040243,0.048397,0.008146,0.0049,0.0088,0.0045,0.0105,0.039760,0.000194,0.004341,0.004154,0.004401,0.003935,0.008731,0.008094
Simple,caso04f.txt,Matrix-only,20,20,0.049900,0.008327,0.041573,0.049472,0.008149,0.0053,0.0141,0.0056,0.0170,0.039937,0.000194,0.004300,0.004143,0.005648,0.003939,0.009959,0.008072
Simple,caso05a.txt,Augmented,20,20,0.048791,0.008343,0.040448,0.048515,0.007999,0.0059,0.0156,0.0074,0.0193,0.040012,0.000194,0.004343,0.004162,0.004393,0.003934,0.008725,0.008091
Simple,caso05a.txt,Matrix-only,20,20,0.050092,0.008369,0.041723,0.049827,0.008231,0.0039,0.0140,0.0057,0.0208,0.040016,0.000195,0.004315,0.004201,0.005663,0.003948,0.009975,0.008121
Simple,caso05b.txt,Augmented,20,20,0.048755,0.008304,0.040451,0.048342,0.008102,0.0096,0.0146,0.0065,0.0171,0.039900,0.000194,0.004360,0.004129,0.004411,0.003919,0.008758,0.008048
Simple,caso05b.txt,Matrix-only,20,20,0.049899,0.008356,0.041543,0.049494,0.008015,0.0036,0.0191,0.0025,0.0255,0.039912,0.000194,0.004305,0.004182,0.005635,0.003919,0.009939,0.008108
Simple,caso05c.txt,Augmented,20,20,0.048701,0.008288,0.040413,0.048415,0.008143,0.0030,0.0095,0.0039,0.0088,0.039917,0.000194,0.004347,0.004120,0.004397,0.003929,0.008741,0.008039
Simple,caso05c.txt,Matrix-only,20,20,0.049958,0.008387,0.041571,0.049653,0.008188,0.0115,0.0140,0.0088,0.0187,0.039918,0.000196,0.004315,0.004209,0.005637,0.003932,0.009944,0.008141
Simple,caso05d.txt,Augmented,20,20,0.048804,0.008355,0.040449,0.048478,0.008220,0.0037,0.0100,0.0058,0.0142,0.039936,0.000194,0.004374,0.004169,0.004411,0.003928,0.008753,0.008103
Simple,caso05d.txt,Matrix-only,20,20,0.050035,0.008403,0.041632,0.049509,0.008227,0.0047,0.0174,0.0065,0.0255,0.039992,0.000195,0.004331,0.004193,0.005673,0.003935,0.010030,0.008145
Simple,caso05e.txt,Augmented,20,20,0.048735,0.008362,0.040374,0.048527,0.008196,0.0032,0.0156,0.0041,0.0151,0.039928,0.000194,0.004363,0.004184,0.004422,0.003928,0.008775,0.008115
Simple,caso05e.txt,Matrix-only,20,20,0.050085,0.008373,0.041712,0.049833,0.008209,0.0062,0.0226,0.0055,0.0272,0.040036,0.000194,0.004343,0.004175,0.005630,0.003933,0.009976,0.008123
Simple,caso05f.txt,Augmented,20,20,0.048896,0.008395,0.040501,0.048443,0.008262,0.0209,0.0528,0.0122,0.0285,0.040024,0.000195,0.004392,0.004215,0.004404,0.003944,0.008837,0.008143
Simple,caso05f.txt,Matrix-only,20,20,0.050162,0.008426,0.041736,0.049630,0.008206,0.0208,0.0160,0.0116,0.0239,0.040081,0.000194,0.004308,0.004217,0.005642,0.003937,0.009944,0.008166
Simple,caso09a.txt,Augmented,20,20,0.048852,0.008341,0.040512,0.048376,0.008205,0.0091,0.0152,0.0108,0.0179,0.039993,0.000193,0.004350,0.004161,0.004406,0.003941,0.008760,0.008087
Simple,caso09a.txt,Matrix-only,20,20,0.050248,0.008371,0.041877,0.049667,0.008174,0.0393,0.0143,0.0222,0.0135,0.040274,0.000193,0.004306,0.004197,0.005663,0.003936,0.009975,0.008126
Simple,caso09b.txt,Augmented,20,20,0.048664,0.008366,0.040298,0.048332,0.008159,0.0038,0.0118,0.0051,0.0162,0.039880,0.000192,0.004333,0.004164,0.004412,0.003942,0.008722,0.008113
Simple,caso09b.txt,Matrix-only,20,20,0.049935,0.008277,0.041659,0.049686,0.008087,0.0039,0.0096,0.0066,0.0146,0.039908,0.000193,0.004300,0.004120,0.005627,0.003930,0.009958,0.008031
Simple,caso09c.txt,Augmented,20,20,0.048655,0.008280,0.040375,0.048409,0.008139,0.0310,0.0094,0.0043,0.0137,0.039844,0.000192,0.004320,0.004109,0.004387,0.003926,0.008730,0.008034
