class,instance,kernel,policy,result,bytes
Simple,caso11b.txt,Augmented,selective,identical,1770701
Simple,caso11b.txt,Augmented,role-blind,identical,1781595
Simple,caso11b.txt,Matrix-only,selective,identical,1731258
Simple,caso11b.txt,Matrix-only,role-blind,identical,1731258
Simple,caso11c.txt,Augmented,selective,identical,1770701
Simple,caso11c.txt,Augmented,role-blind,identical,1781595
Simple,caso11c.txt,Matrix-only,selective,identical,1731258
Simple,caso11c.txt,Matrix-only,role-blind,identical,1731258
Simple,caso11d.txt,Augmented,selective,identical,1770767
Simple,caso11d.txt,Augmented,role-blind,identical,1781582
Simple,caso11d.txt,Matrix-only,selective,identical,1731324
Simple,caso11d.txt,Matrix-only,role-blind,identical,1731324
Simple,caso11e.txt,Augmented,selective,identical,1770767
Simple,caso11e.txt,Augmented,role-blind,identical,1781582
Simple,caso11e.txt,Matrix-only,selective,identical,1731324
Simple,caso11e.txt,Matrix-only,role-blind,identical,1731324
Simple,caso11f.txt,Augmented,selective,identical,1770767
Simple,caso11f.txt,Augmented,role-blind,identical,1781582
Simple,caso11f.txt,Matrix-only,selective,identical,1731324
Simple,caso11f.txt,Matrix-only,role-blind,identical,1731324
Simple,caso12a.txt,Augmented,selective,identical,1788318
Simple,caso12a.txt,Augmented,role-blind,identical,1799170
Simple,caso12a.txt,Matrix-only,selective,identical,1735531
Simple,caso12a.txt,Matrix-only,role-blind,identical,1735531
Simple,caso12b.txt,Augmented,selective,identical,1788318
Simple,caso12b.txt,Augmented,role-blind,identical,1799170
Simple,caso12b.txt,Matrix-only,selective,identical,1735531
Simple,caso12b.txt,Matrix-only,role-blind,identical,1735531
Simple,caso12c.txt,Augmented,selective,identical,1788318
Simple,caso12c.txt,Augmented,role-blind,identical,1799170
Simple,caso12c.txt,Matrix-only,selective,identical,1735531
Simple,caso12c.txt,Matrix-only,role-blind,identical,1735531
Simple,caso12d.txt,Augmented,selective,identical,1788381
Simple,caso12d.txt,Augmented,role-blind,identical,1799181
Simple,caso12d.txt,Matrix-only,selective,identical,1735594
Simple,caso12d.txt,Matrix-only,role-blind,identical,1735594
Simple,caso12e.txt,Augmented,selective,identical,1788381
Simple,caso12e.txt,Augmented,role-blind,identical,1799181
Simple,caso12e.txt,Matrix-only,selective,identical,1735594
Simple,caso12e.txt,Matrix-only,role-blind,identical,1735594
Simple,caso12f.txt,Augmented,selective,identical,1788381
Simple,caso12f.txt,Augmented,role-blind,identical,1799181
Simple,caso12f.txt,Matrix-only,selective,identical,1735594
Simple,caso12f.txt,Matrix-only,role-blind,identical,1735594
