class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso09b.txt,Matrix-only,20,20,0.373705,0.041864,0.331841,0.222348,0.015509,0.2406,0.8324
Simple,caso09c.txt,Augmented,20,20,0.366329,0.039047,0.327282,0.204518,0.015640,0.2785,1.0773
Simple,caso09c.txt,Matrix-only,20,20,0.273381,0.049584,0.223797,0.210168,0.013729,0.3118,0.9135
Simple,caso09d.txt,Augmented,20,20,0.400178,0.027189,0.372989,0.195845,0.014594,0.2421,1.8958
Simple,caso09d.txt,Matrix-only,20,20,0.374078,0.060590,0.313487,0.230231,0.012168,0.2051,0.7302
Simple,caso09e.txt,Augmented,20,20,0.327463,0.052822,0.274642,0.216914,0.014857,0.3696,0.9652
Simple,caso09e.txt,Matrix-only,20,20,0.325719,0.037035,0.288684,0.221353,0.014766,0.3152,1.2115
Simple,caso09f.txt,Augmented,20,20,0.324028,0.063271,0.260756,0.195221,0.018461,0.2993,0.6874
Simple,caso09f.txt,Matrix-only,20,20,0.332676,0.032933,0.299743,0.224149,0.013864,0.3049,1.3508
Simple,caso10a.txt,Augmented,20,20,0.343228,0.055112,0.288116,0.270179,0.014680,0.2233,0.7267
Simple,caso10a.txt,Matrix-only,20,20,0.364859,0.062511,0.302348,0.246706,0.015019,0.2272,0.6977
Simple,caso10b.txt,Augmented,20,20,0.311781,0.039655,0.272126,0.209393,0.014719,0.2517,1.1987
Simple,caso10b.txt,Matrix-only,20,20,0.337717,0.038560,0.299157,0.209358,0.014535,0.3000,1.0694
Simple,caso10c.txt,Augmented,20,20,0.319811,0.087753,0.232059,0.197401,0.014851,0.3510,0.4874
Simple,caso10c.txt,Matrix-only,20,20,0.361722,0.038711,0.323011,0.260777,0.013601,0.2397,1.2266
Simple,caso10d.txt,Augmented,20,20,0.330951,0.063119,0.267832,0.194702,0.015714,0.3104,0.5863
Simple,caso10d.txt,Matrix-only,20,20,0.378482,0.058729,0.319753,0.220118,0.014947,0.2872,0.7876
Simple,caso10e.txt,Augmented,20,20,0.337141,0.060080,0.277060,0.233142,0.013718,0.2672,0.6443
Simple,caso10e.txt,Matrix-only,20,20,0.347514,0.028455,0.319059,0.219989,0.014835,0.1971,1.5160
Simple,caso10f.txt,Augmented,20,20,0.319199,0.037882,0.281317,0.186109,0.012191,0.3128,1.2418
Simple,caso10f.txt,Matrix-only,20,20,0.372515,0.056047,0.316468,0.230377,0.015630,0.3167,0.7657
Simple,caso11a.txt,Augmented,20,20,0.295816,0.061028,0.234787,0.189349,0.014457,0.3643,0.6203
Simple,caso11a.txt,Matrix-only,20,20,0.328695,0.085785,0.242911,0.206084,0.015148,0.2219,0.5404
Simple,caso11b.txt,Augmented,20,20,0.347643,0.052348,0.295294,0.215335,0.014888,0.2146,0.9214
Simple,caso11b.txt,Matrix-only,20,20,0.345508,0.063426,0.282082,0.208246,0.014785,0.2585,0.6480
Simple,caso11c.txt,Augmented,20,20,0.329042,0.040490,0.288552,0.191739,0.014986,0.2041,1.2541
Simple,caso11c.txt,Matrix-only,20,20,0.343115,0.053915,0.289200,0.209694,0.014247,0.2821,0.8073
