grid,lambda_sa,lambda_flat,gap,class,kernel,n,median_sa_over_flat,r_rb,p,q6,q12
policy-ratio,0.25,1.0,1%,Full,Matrix-only,32,0.986376,0.246212,0.23122968,0.46245936,0.39639373
policy-ratio,0.25,1.0,1%,SG-Ter-Mer,Augmented,67,1.003859,-0.302897,0.031154574,0.18692744,0.093463721
policy-ratio,0.25,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997529,-0.135206,0.33605792,0.50408688,0.50408688
policy-ratio,0.25,1.0,1%,Simple,Augmented,204,0.999915,-0.030129,0.7090502,0.7090502,0.77350931
policy-ratio,0.25,1.0,1%,Simple,Matrix-only,204,1.000327,-0.036155,0.65432756,0.7090502,0.77350931
policy-ratio,0.5,1.0,0.1%,Full,Augmented,27,0.877117,0.529101,0.015064374,0.045193121,0.090386242
policy-ratio,0.5,1.0,0.1%,Full,Matrix-only,27,0.980289,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,0.5,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015872,-0.309921,0.027449467,0.054898933,0.093463721
policy-ratio,0.5,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,0.998629,-0.104478,0.4572693,0.54872315,0.54872315
policy-ratio,0.5,1.0,0.1%,Simple,Augmented,204,1.009025,-0.246772,0.0022421489,0.013452893,0.026905787
policy-ratio,0.5,1.0,0.1%,Simple,Matrix-only,203,0.997647,0.099971,0.21681071,0.32521606,0.39639373
policy-ratio,0.5,1.0,1%,Full,Augmented,31,0.919124,0.354839,0.08650197,0.25950591,0.20760473
policy-ratio,0.5,1.0,1%,Full,Matrix-only,32,0.986449,0.246212,0.23122968,0.39578386,0.39639373
policy-ratio,0.5,1.0,1%,SG-Ter-Mer,Augmented,67,1.005071,-0.302897,0.031154574,0.18692744,0.093463721
policy-ratio,0.5,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997543,-0.136962,0.32981988,0.39578386,0.43975984
policy-ratio,0.5,1.0,1%,Simple,Augmented,204,1.000100,-0.051267,0.52548275,0.52548275,0.57325391
policy-ratio,0.5,1.0,1%,Simple,Matrix-only,204,1.000580,-0.081588,0.31229517,0.39578386,0.43975984
policy-ratio,1.0,1.0,0.1%,Full,Augmented,27,0.877122,0.529101,0.015064374,0.045193121,0.090386242
policy-ratio,1.0,1.0,0.1%,Full,Matrix-only,27,0.980312,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,1.0,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.313433,0.025743955,0.05148791,0.092153889
policy-ratio,1.0,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.000778,-0.108867,0.43858547,0.52630256,0.47845688
policy-ratio,1.0,1.0,0.1%,Simple,Augmented,204,1.009386,-0.253276,0.001708737,0.010252422,0.020504844
policy-ratio,1.0,1.0,0.1%,Simple,Matrix-only,203,0.998060,0.088670,0.27332458,0.40998687,0.36443277
policy-ratio,1.0,1.0,1%,Full,Augmented,31,0.919336,0.354839,0.08650197,0.17300394,0.17300394
policy-ratio,1.0,1.0,1%,Full,Matrix-only,32,0.986596,0.246212,0.23122968,0.3175703,0.36443277
policy-ratio,1.0,1.0,1%,SG-Ter-Mer,Augmented,67,1.007496,-0.302897,0.031154574,0.11519236,0.092153889
policy-ratio,1.0,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997570,-0.140474,0.3175703,0.3175703,0.38108436
policy-ratio,1.0,1.0,1%,Simple,Augmented,204,1.000421,-0.089909,0.26550521,0.3175703,0.36443277
policy-ratio,1.0,1.0,1%,Simple,Matrix-only,204,1.001119,-0.167193,0.038397454,0.11519236,0.092153889
policy-ratio,2.0,1.0,0.1%,Full,Augmented,27,0.877132,0.529101,0.015064374,0.045193121,0.060257494
policy-ratio,2.0,1.0,0.1%,Full,Matrix-only,27,0.980357,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,2.0,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015921,-0.320457,0.022606164,0.045212328,0.06587872
policy-ratio,2.0,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.004926,-0.121159,0.38866709,0.49073145,0.4461195
policy-ratio,2.0,1.0,0.1%,Simple,Augmented,204,1.010106,-0.263797,0.0010870211,0.0065221269,0.0065221269
policy-ratio,2.0,1.0,0.1%,Simple,Matrix-only,203,0.998336,0.066841,0.40894287,0.49073145,0.4461195
policy-ratio,2.0,1.0,1%,Full,Augmented,31,0.919759,0.354839,0.08650197,0.12975295,0.14828909
policy-ratio,2.0,1.0,1%,Full,Matrix-only,32,0.986890,0.242424,0.23864097,0.28544094,0.35796146
policy-ratio,2.0,1.0,1%,SG-Ter-Mer,Augmented,67,1.010383,-0.309921,0.027449467,0.073105661,0.06587872
policy-ratio,2.0,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997625,-0.150132,0.28544094,0.28544094,0.38058792
policy-ratio,2.0,1.0,1%,Simple,Augmented,204,1.001178,-0.168819,0.036552831,0.073105661,0.073105661
policy-ratio,2.0,1.0,1%,Simple,Matrix-only,204,1.001879,-0.325968,5.4154533e-05,0.0003249272,0.00064985439
policy-ratio,4.0,1.0,0.1%,Full,Augmented,27,0.877152,0.529101,0.015064374,0.036428654,0.041637114
policy-ratio,4.0,1.0,0.1%,Full,Matrix-only,27,0.980447,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,4.0,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.016700,-0.331870,0.018214327,0.036428654,0.041637114
policy-ratio,4.0,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.010097,-0.143986,0.30562282,0.45843423,0.36674738
policy-ratio,4.0,1.0,0.1%,Simple,Augmented,204,1.011546,-0.285605,0.00040461611,0.0024276966,0.0016184644
policy-ratio,4.0,1.0,0.1%,Simple,Matrix-only,203,0.999534,0.020381,0.80120819,0.82233827,0.82233827
policy-ratio,4.0,1.0,1%,Full,Augmented,31,0.920606,0.350806,0.090268113,0.13540217,0.15474534
policy-ratio,4.0,1.0,1%,Full,Matrix-only,32,0.987478,0.242424,0.23864097,0.23864097,0.31818796
policy-ratio,4.0,1.0,1%,SG-Ter-Mer,Augmented,67,1.016157,-0.324846,0.020818557,0.041637114,0.041637114
policy-ratio,4.0,1.0,1%,SG-Ter-Mer,Matrix-only,67,1.004274,-0.170325,0.22557008,0.23864097,0.31818796
policy-ratio,4.0,1.0,1%,Simple,Augmented,204,1.002819,-0.315352,9.4050842e-05,0.00028215252,0.00056430505
policy-ratio,4.0,1.0,1%,Simple,Matrix-only,204,1.003599,-0.578479,7.827948e-13,4.6967688e-12,9.3935376e-12
