class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso29f.txt,Matrix-only,20,20,0.008575,0.001371,0.007204,0.008466,0.001350,0.0208,0.0340,0.0139,0.0182,0.007045,0.000072,0.000638,0.000612,0.000838,0.000642,0.001476,0.001252
Simple,caso30a.txt,Augmented,20,20,0.008438,0.001428,0.007010,0.008333,0.001370,0.0085,0.0383,0.0117,0.0547,0.007030,0.000072,0.000651,0.000639,0.000707,0.000650,0.001358,0.001295
Simple,caso30a.txt,Matrix-only,20,20,0.008677,0.001462,0.007214,0.008488,0.001365,0.0154,0.0719,0.0190,0.0793,0.007071,0.000074,0.000670,0.000694,0.000878,0.000646,0.001557,0.001336
Simple,caso30b.txt,Augmented,20,20,0.008570,0.001528,0.007041,0.008335,0.001415,0.0218,0.0644,0.0128,0.0794,0.007078,0.000075,0.000672,0.000716,0.000716,0.000657,0.001382,0.001369
Simple,caso30b.txt,Matrix-only,20,20,0.008765,0.001483,0.007282,0.008527,0.001384,0.0122,0.0571,0.0160,0.0867,0.007109,0.000075,0.000663,0.000695,0.000889,0.000657,0.001570,0.001356
Simple,caso30c.txt,Augmented,20,20,0.008593,0.001526,0.007067,0.008445,0.001397,0.0094,0.0606,0.0127,0.0769,0.007136,0.000074,0.000655,0.000726,0.000715,0.000660,0.001375,0.001399
Simple,caso30c.txt,Matrix-only,20,20,0.008546,0.001377,0.007169,0.008416,0.001363,0.0126,0.0657,0.0145,0.0194,0.006992,0.000073,0.000641,0.000612,0.000843,0.000643,0.001489,0.001249
Simple,caso30d.txt,Augmented,20,20,0.008381,0.001380,0.007000,0.008307,0.001356,0.0062,0.0405,0.0065,0.0401,0.006985,0.000072,0.000640,0.000606,0.000695,0.000643,0.001335,0.001250
Simple,caso30d.txt,Matrix-only,20,20,0.008564,0.001383,0.007181,0.008429,0.001359,0.0131,0.0383,0.0180,0.0252,0.006984,0.000073,0.000643,0.000615,0.000837,0.000638,0.001479,0.001254
Simple,caso30e.txt,Augmented,20,20,0.008363,0.001384,0.006978,0.008297,0.001359,0.0084,0.0268,0.0104,0.0243,0.006975,0.000072,0.000643,0.000610,0.000693,0.000640,0.001335,0.001253
Simple,caso30e.txt,Matrix-only,20,20,0.008517,0.001393,0.007124,0.008452,0.001356,0.2523,0.0511,0.0131,0.0601,0.006983,0.000073,0.000641,0.000607,0.000832,0.000643,0.001475,0.001263
Simple,caso30f.txt,Augmented,20,20,0.008422,0.001415,0.007006,0.008315,0.001376,0.0450,0.0392,0.0167,0.0693,0.007022,0.000073,0.000651,0.000637,0.000701,0.000648,0.001355,0.001290
Simple,caso30f.txt,Matrix-only,20,20,0.008625,0.001440,0.007186,0.008485,0.001373,0.0095,0.0423,0.0143,0.0561,0.007032,0.000073,0.000656,0.000655,0.000880,0.000645,0.001544,0.001320
Simple,caso31a.txt,Augmented,20,20,0.008426,0.001417,0.007009,0.008321,0.001360,0.0082,0.0603,0.0117,0.0668,0.007031,0.000072,0.000646,0.000631,0.000710,0.000654,0.001361,0.001296
Simple,caso31a.txt,Matrix-only,20,20,0.008614,0.001390,0.007224,0.008433,0.001364,0.0180,0.0376,0.0118,0.0242,0.007018,0.000072,0.000650,0.000623,0.000882,0.000645,0.001529,0.001270
Simple,caso31b.txt,Augmented,20,20,0.008451,0.001401,0.007050,0.008285,0.001379,0.0215,0.0581,0.0130,0.0764,0.007030,0.000073,0.000649,0.000635,0.000715,0.000650,0.001364,0.001280
Simple,caso31b.txt,Matrix-only,20,20,0.008616,0.001404,0.007213,0.008497,0.001371,0.0084,0.0601,0.0142,0.0727,0.007020,0.000072,0.000647,0.000638,0.000876,0.000647,0.001522,0.001285
Simple,caso31c.txt,Augmented,20,20,0.008423,0.001493,0.006931,0.008270,0.001390,0.0117,0.0922,0.0165,0.1699,0.007029,0.000073,0.000647,0.000686,0.000708,0.000657,0.001358,0.001366
Simple,caso31c.txt,Matrix-only,20,20,0.008608,0.001428,0.007180,0.008464,0.001382,0.0447,0.0346,0.0132,0.0609,0.007023,0.000073,0.000648,0.000662,0.000877,0.000644,0.001529,0.001301
Simple,caso31d.txt,Augmented,20,20,0.008497,0.001408,0.007090,0.008309,0.001360,0.0131,0.0437,0.0160,0.0431,0.007052,0.000073,0.000655,0.000641,0.000718,0.000648,0.001372,0.001285
Simple,caso31d.txt,Matrix-only,20,20,0.008564,0.001396,0.007168,0.008493,0.001364,0.0179,0.0408,0.0229,0.0430,0.006993,0.000073,0.000649,0.000630,0.000877,0.000647,0.001529,0.001273
Simple,caso31e.txt,Augmented,20,20,0.008429,0.001406,0.007023,0.008301,0.001374,0.0113,0.0637,0.0190,0.0399,0.007010,0.000072,0.000647,0.000634,0.000711,0.000645,0.001359,0.001283
Simple,caso31e.txt,Matrix-only,20,20,0.008618,0.001416,0.007202,0.008519,0.001395,0.0125,0.0643,0.0170,0.1213,0.007029,0.000073,0.000654,0.000646,0.000876,0.000653,0.001528,0.001295
Simple,caso31f.txt,Augmented,20,20,0.008402,0.001410,0.006992,0.008313,0.001357,0.0105,0.1772,0.0103,0.0672,0.006997,0.000073,0.000648,0.000634,0.000710,0.000651,0.001357,0.001291
Simple,caso31f.txt,Matrix-only,20,20,0.008603,0.001407,0.007196,0.008494,0.001358,0.0084,0.0618,0.0135,0.0605,0.007011,0.000073,0.000645,0.000643,0.000879,0.000647,0.001525,0.001284
Simple,caso32a.txt,Augmented,20,20,0.008557,0.001396,0.007161,0.008449,0.001352,0.0132,0.0769,0.0189,0.0862,0.007145,0.000072,0.000656,0.000629,0.000718,0.000648,0.001375,0.001274
Simple,caso32a.txt,Matrix-only,20,20,0.008676,0.001402,0.007275,0.008537,0.001379,0.0133,0.0788,0.0105,0.0394,0.007093,0.000072,0.000650,0.000646,0.000881,0.000644,0.001529,0.001284
Simple,caso32b.txt,Augmented,20,20,0.008594,0.001489,0.007105,0.008451,0.001388,0.0125,0.0748,0.0123,0.1084,0.007153,0.000073,0.000654,0.000705,0.000716,0.000655,0.001370,0.001362
Simple,caso32b.txt,Matrix-only,20,20,0.008734,0.001405,0.007330,0.008588,0.001367,0.0114,0.0254,0.0162,0.0258,0.007137,0.000072,0.000655,0.000643,0.000891,0.000646,0.001542,0.001286
Simple,caso32c.txt,Augmented,20,20,0.008544,0.001397,0.007147,0.008418,0.001352,0.0158,0.0569,0.0237,0.0268,0.007138,0.000071,0.000651,0.000631,0.000711,0.000645,0.001363,0.001276
Simple,caso32c.txt,Matrix-only,20,20,0.008702,0.001399,0.007303,0.008625,0.001368,0.0070,0.0652,0.0102,0.0701,0.007123,0.000072,0.000649,0.000628,0.000875,0.000645,0.001526,0.001277
Simple,caso32d.txt,Augmented,20,20,0.008528,0.001410,0.007119,0.008370,0.001376,0.0114,0.0643,0.0113,0.0606,0.007122,0.000072,0.000649,0.000643,0.000705,0.000649,0.001356,0.001289
Simple,caso32d.txt,Matrix-only,20,20,0.008735,0.001452,0.007283,0.008542,0.001365,0.0129,0.0553,0.0159,0.0907,0.007147,0.000073,0.000651,0.000681,0.000882,0.000650,0.001534,0.001327
Simple,caso32e.txt,Augmented,20,20,0.008508,0.001403,0.007105,0.008409,0.001350,0.0071,0.1610,0.0087,0.0511,0.007099,0.000071,0.000651,0.000632,0.000712,0.000648,0.001363,0.001283
Simple,caso32e.txt,Matrix-only,20,20,0.008683,0.001387,0.007296,0.008601,0.001360,0.0090,0.0427,0.0106,0.0110,0.007108,0.000071,0.000647,0.000622,0.000878,0.000645,0.001525,0.001269
Simple,caso32f.txt,Augmented,20,20,0.008509,0.001386,0.007123,0.008420,0.001370,0.0087,0.0073,0.0067,0.0090,0.007099,0.000071,0.000650,0.000623,0.000711,0.000646,0.001363,0.001268
Simple,caso32f.txt,Matrix-only,20,20,0.008652,0.001381,0.007270,0.008542,0.001369,0.0078,0.0339,0.0043,0.0123,0.007068,0.000071,0.000649,0.000621,0.000880,0.000643,0.001528,0.001265
Simple,caso33a.txt,Augmented,20,20,0.008365,0.001384,0.006980,0.008279,0.001356,0.0071,0.0336,0.0080,0.0081,0.006965,0.000072,0.000644,0.000618,0.000711,0.000649,0.001356,0.001268
Simple,caso33a.txt,Matrix-only,20,20,0.008562,0.001379,0.007183,0.008488,0.001360,0.0096,0.0144,0.0088,0.0104,0.006995,0.000072,0.000645,0.000618,0.000877,0.000642,0.001523,0.001260
Simple,caso33b.txt,Augmented,20,20,0.008361,0.001383,0.006978,0.008294,0.001358,0.0458,0.0117,0.0136,0.0055,0.006958,0.000072,0.000644,0.000621,0.000709,0.000645,0.001355,0.001265
Simple,caso33b.txt,Matrix-only,20,20,0.008522,0.001381,0.007141,0.008448,0.001368,0.0061,0.0201,0.0082,0.0103,0.006956,0.000072,0.000645,0.000620,0.000876,0.000642,0.001520,0.001263
Simple,caso33c.txt,Augmented,20,20,0.008452,0.001411,0.007041,0.008307,0.001375,0.0126,0.0359,0.0218,0.0482,0.007021,0.000073,0.000648,0.000644,0.000718,0.000650,0.001364,0.001291
Simple,caso33c.txt,Matrix-only,20,20,0.008584,0.001411,0.007173,0.008490,0.001378,0.0120,0.0343,0.0175,0.0502,0.007006,0.000072,0.000648,0.000639,0.000887,0.000647,0.001535,0.001292
Simple,caso33d.txt,Augmented,20,20,0.008416,0.001451,0.006965,0.008269,0.001353,0.0204,0.0666,0.0099,0.0988,0.006999,0.000073,0.000645,0.000683,0.000712,0.000650,0.001360,0.001329
Simple,caso33d.txt,Matrix-only,20,20,0.008597,0.001442,0.007155,0.008444,0.001372,0.0118,0.0483,0.0211,0.0615,0.007039,0.000073,0.000645,0.000675,0.000843,0.000642,0.001508,0.001323
Simple,caso33e.txt,Augmented,20,20,0.008542,0.001430,0.007112,0.008274,0.001371,0.0209,0.1125,0.0295,0.1226,0.007076,0.000074,0.000668,0.000660,0.000709,0.000645,0.001360,0.001308
Simple,caso33e.txt,Matrix-only,20,20,0.008616,0.001417,0.007199,0.008474,0.001370,0.0256,0.0341,0.0150,0.0532,0.007031,0.000072,0.000648,0.000643,0.000871,0.000648,0.001521,0.001297
Simple,caso33f.txt,Augmented,20,20,0.008471,0.001445,0.007026,0.008284,0.001360,0.0152,0.0688,0.0207,0.1028,0.007045,0.000073,0.000662,0.000680,0.000708,0.000648,0.001367,0.001320
Simple,caso33f.txt,Matrix-only,20,20,0.008602,0.001427,0.007175,0.008418,0.001379,0.0127,0.0337,0.0148,0.0426,0.006987,0.000073,0.000651,0.000655,0.000880,0.000647,0.001526,0.001308
Simple,caso34a.txt,Augmented,20,20,0.008528,0.001440,0.007088,0.008394,0.001384,0.0178,0.0433,0.0272,0.0481,0.007122,0.000073,0.000655,0.000674,0.000704,0.000641,0.001364,0.001317
Simple,caso34a.txt,Matrix-only,20,20,0.008742,0.001484,0.007258,0.008512,0.001380,0.0156,0.0737,0.0241,0.0761,0.007107,0.000074,0.000695,0.000709,0.000874,0.000652,0.001557,0.001359
Simple,caso34b.txt,Augmented,20,20,0.008470,0.001408,0.007062,0.008338,0.001375,0.0169,0.0558,0.0172,0.0701,0.007057,0.000073,0.000650,0.000639,0.000711,0.000644,0.001363,0.001286
Simple,caso34b.txt,Matrix-only,20,20,0.008626,0.001429,0.007198,0.008472,0.001379,0.0149,0.0527,0.0202,0.0531,0.007052,0.000073,0.000653,0.000652,0.000879,0.000645,0.001535,0.001304
Simple,caso34c.txt,Augmented,20,20,0.008533,0.001446,0.007087,0.008398,0.001398,0.0207,0.0624,0.0172,0.0378,0.007111,0.000073,0.000653,0.000651,0.000711,0.000649,0.001365,0.001316
Simple,caso34c.txt,Matrix-only,20,20,0.008617,0.001430,0.007186,0.008517,0.001379,0.0115,0.0307,0.0089,0.0329,0.007038,0.000073,0.000651,0.000660,0.000880,0.000644,0.001533,0.001309
Simple,caso34d.txt,Augmented,20,20,0.008499,0.001427,0.007072,0.008406,0.001411,0.0100,0.0277,0.0094,0.0294,0.007044,0.000073,0.000659,0.000651,0.000716,0.000650,0.001371,0.001304
Simple,caso34d.txt,Matrix-only,20,20,0.008645,0.001441,0.007205,0.008516,0.001383,0.0099,0.0342,0.0154,0.0374,0.007054,0.000073,0.000655,0.000667,0.000882,0.000646,0.001533,0.001317
Simple,caso34e.txt,Augmented,20,20,0.008495,0.001453,0.007042,0.008400,0.001402,0.0065,0.0267,0.0068,0.0228,0.007082,0.000073,0.000652,0.000679,0.000713,0.000651,0.001367,0.001333
Simple,caso34e.txt,Matrix-only,20,20,0.008663,0.001419,0.007244,0.008524,0.001371,0.0101,0.0380,0.0166,0.0205,0.007032,0.000073,0.000664,0.000659,0.000888,0.000641,0.001553,0.001296
Simple,caso34f.txt,Augmented,20,20,0.008504,0.001430,0.007074,0.008306,0.001376,0.0079,0.0447,0.0093,0.0451,0.007058,0.000073,0.000659,0.000666,0.000716,0.000644,0.001373,0.001312
Simple,caso34f.txt,Matrix-only,20,20,0.008678,0.001419,0.007259,0.008549,0.001369,0.0124,0.0580,0.0135,0.0473,0.007072,0.000073,0.000656,0.000648,0.000895,0.000648,0.001558,0.001299
Simple,caso35a.txt,Augmented,20,20,0.008531,0.001440,0.007091,0.008343,0.001400,0.0093,0.0308,0.0124,0.0256,0.007074,0.000073,0.000651,0.000668,0.000713,0.000648,0.001366,0.001316
Simple,caso35a.txt,Matrix-only,20,20,0.008758,0.001508,0.007250,0.008512,0.001386,0.0194,0.0823,0.0251,0.1442,0.007113,0.000074,0.000710,0.000737,0.000904,0.000649,0.001617,0.001383
Simple,caso35b.txt,Augmented,20,20,0.008557,0.001472,0.007085,0.008476,0.001395,0.0093,0.0527,0.0155,0.0549,0.007138,0.000073,0.000660,0.000701,0.000714,0.000653,0.001376,0.001349
Simple,caso35b.txt,Matrix-only,20,20,0.008764,0.001494,0.007270,0.008552,0.001388,0.0157,0.0497,0.0271,0.0469,0.007127,0.000074,0.000659,0.000696,0.000879,0.000652,0.001532,0.001369
Simple,caso35c.txt,Augmented,20,20,0.008590,0.001519,0.007071,0.008406,0.001380,0.0145,0.0539,0.0213,0.0733,0.007128,0.000073,0.000708,0.000742,0.000724,0.000657,0.001431,0.001397
Simple,caso35c.txt,Matrix-only,20,20,0.008714,0.001490,0.007224,0.008546,0.001415,0.0171,0.0792,0.0150,0.0468,0.007097,0.000073,0.000663,0.000716,0.000882,0.000652,0.001536,0.001366
Simple,caso35d.txt,Augmented,20,20,0.008595,0.001584,0.007012,0.008438,0.001401,0.0075,0.0481,0.0094,0.0656,0.007095,0.000072,0.000720,0.000794,0.000729,0.000664,0.001451,0.001462
Simple,caso35d.txt,Matrix-only,20,20,0.008694,0.001469,0.007226,0.008453,0.001386,0.0094,0.0397,0.0105,0.0381,0.007065,0.000072,0.000657,0.000699,0.000881,0.000647,0.001548,0.001347
Simple,caso35e.txt,Augmented,20,20,0.008516,0.001453,0.007063,0.008401,0.001401,0.0075,0.0382,0.0091,0.0548,0.007073,0.000073,0.000658,0.000684,0.000715,0.000648,0.001371,0.001332
