instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_S6_seed20250820,SAMat,43,38,10.00055792587623,6.278005151009074e-17,0.007113868920546048,1.592951532425682e+17,1405.7832717430229,237292.79774919242,1
coupling_S6_seed20250821,Base,43,38,6049709.341821256,1.7226187879175717e-18,0.004436858809308831,3.511925786630128e+24,1363511800.0889628,1157938056.0001132,1
coupling_S6_seed20250821,Flat,43,38,18.138903599528657,1.7468777038090636e-18,0.0008122477444053081,1.0383613895796376e+19,22331.737729612483,11585.854835534314,1
coupling_S6_seed20250821,FlatMat,43,38,102.89189373675381,1.2636696507315413e-16,0.009055781166859348,8.14230947757505e+17,11362.011939212742,10512.809407341729,1
coupling_S6_seed20250821,Ruiz,43,38,24.646633455034934,1.6565723089562997e-18,0.0007394168948844968,1.4878090936195355e+19,33332.52678637394,2802453.5222120355,1
coupling_S6_seed20250821,SAAug,43,38,10.000601397839416,1.983196489097462e-18,0.0006797474341555177,5.042667961958028e+18,14712.231183724341,1137110.1270646448,1
coupling_S6_seed20250821,SAMat,43,38,10.00055220572622,1.04863123927063e-16,0.007977888734390481,9.536767388965117e+16,1253.533677728118,105466.88411790453,1
coupling_S6_seed20250822,Base,43,38,362.8979041024322,1.1997771602115777e-20,0.0005416956475532055,3.0247108891324124e+22,669929.5180635327,35301623.335136436,1
coupling_S6_seed20250822,Flat,43,38,20.520577717812632,2.788675423293811e-18,0.0003286079736599349,7.35853930737303e+18,62446.98656962193,17270.973242858505,1
coupling_S6_seed20250822,FlatMat,43,38,121.09603330102097,9.645625498282295e-17,0.003783976286570882,1.2554502901090852e+18,32002.323516345474,14649.985193304678,1
coupling_S6_seed20250822,Ruiz,43,38,24.925714889694685,1.4305882920215722e-18,0.0003486759083513265,1.7423401986935052e+19,71486.77121844474,5933758.2821328165,1
coupling_S6_seed20250822,SAAug,43,38,10.000500678785077,5.942526264262216e-18,0.0003015848726142631,1.6828702531660872e+18,33159.821950274156,2380696.0101362355,1
coupling_S6_seed20250822,SAMat,43,38,10.000561446299898,2.975427307408482e-17,0.003410502305982865,3.361050502359649e+17,2932.2840300551734,210338.06392616162,1
coupling_S6_seed20250823,Base,43,38,9229024.72887359,2.691232083732304e-18,0.002523928789291505,3.4292935137999785e+24,3656610585.8574085,1751731950.633993,1
coupling_S6_seed20250823,Flat,43,38,20.71513882120844,3.0334590870898087e-18,0.001170157929553029,6.828883537401455e+18,17702.8572793769,19681.85434092741,1
