instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_heterogeneo_S3_seed1002,Ruiz,123,126,24.934683700942188,1.8369055315310464e-05,1.8369055315310464e-05,1357428.7448608924,1357428.7448608924,28642821.73406055,0
coupling_heterogeneo_S3_seed1002,SAAug,123,126,10.000507336893955,1.653533527991147e-05,1.653533527991147e-05,604796.1633438072,604796.1633438072,11487714.9706944,0
coupling_heterogeneo_S3_seed1002,SAMat,123,126,10.000601055175144,0.00019897407297593162,0.00019897407297593162,50260.8249688131,50260.8249688131,13723453.624285828,0
coupling_heterogeneo_S3_seed1003,Base,123,126,113322.34957626731,9.167219321908602e-05,9.167219321908602e-05,1236169285.3299572,1236169285.3299572,2085369256.2346578,0
coupling_heterogeneo_S3_seed1003,Flat,123,126,4462.359331424248,1.0205793946713204e-07,1.0205793946713204e-07,43723784300.59682,43723784300.59682,1546348176.5185447,0
coupling_heterogeneo_S3_seed1003,Ruiz,123,126,113322.28770606824,1.1648843120427119e-07,1.1648843120427119e-07,972820103546.1549,972820103546.1549,5550131509940.484,0
coupling_heterogeneo_S3_seed1003,SAAug,123,126,113322.28770599194,1.0205793948778705e-07,2.6892074954031765e-06,1110372091331.0508,42139659323.31384,5550131509940.484,1
coupling_heterogeneo_S3_seed1003,SAMat,123,126,113322.28771104544,9.671007529966785e-07,9.671007529966785e-07,117177333757.5249,117177333757.5249,68538070085344.29,0
coupling_heterogeneo_S3_seed1004,Base,123,124,14510.137835151416,1.4603451395549201e-19,2.6902530895338373e-05,9.936101707828997e+22,539359582.6207455,54850398.794806994,1
coupling_heterogeneo_S3_seed1004,Flat,123,124,350.2818644211872,5.425288857661504e-20,2.809489076131364e-07,6.456464782082983e+21,1246781371.7343993,11260592.656794647,1
coupling_heterogeneo_S3_seed1004,Ruiz,123,124,25.052965400283316,8.851935232500767e-21,3.1545001750416327e-07,2.830224661868158e+21,79419762.27645215,1231677051.8390632,1
coupling_heterogeneo_S3_seed1004,SAAug,123,124,10.000506752447485,6.572699274181933e-21,2.8094802896438145e-07,1.521522031554105e+21,35595575.41411101,491653829.62614626,1
coupling_heterogeneo_S3_seed1004,SAMat,123,124,10.000836386172216,6.337616030776774e-16,3.0237207267912202e-06,1.5780123531634114e+16,3307460.3410167205,116335455.79077704,1
coupling_heterogeneo_S3_seed1005,Base,123,124,6108.874602786859,7.707550256076138e-18,0.0009023722289853758,7.925831684290367e+20,6769794.555463721,480777801.9645553,1
coupling_heterogeneo_S3_seed1005,Flat,123,124,1262.75902596334,1.48676294399698e-19,6.601006865654816e-06,8.493344759915572e+21,191297941.61152944,114332153.07690294,1
coupling_heterogeneo_S3_seed1005,Ruiz,123,124,25.826215883799097,4.203035041828488e-19,7.179271250624775e-06,6.144658711330578e+19,3597331.1193042854,12541325298.965975,1
coupling_heterogeneo_S3_seed1005,SAAug,123,124,10.000507645415125,9.498128426254837e-20,6.599201410192703e-06,1.0528924432914178e+20,1515411.793610206,4856287401.304458,1
coupling_heterogeneo_S3_seed1005,SAMat,123,124,10.000623517507226,7.502111198676811e-19,7.289949448530201e-05,1.3330412270176815e+19,137183.71558150585,1407596865.8791637,1
coupling_heterogeneo_S3_seed1006,Base,123,124,70033.87316394459,1.3441276386088415e-17,0.0002456680475201004,5.210358834405707e+21,285075221.9138895,193959520.3373531,1
coupling_heterogeneo_S3_seed1006,Flat,123,124,332.7242716400649,2.7949200911429903e-19,8.724374229823469e-07,1.190460767355951e+21,381373222.73805916,7447404.172931794,1
coupling_heterogeneo_S3_seed1006,Ruiz,123,124,25.12341469946985,8.187801559577406e-22,1.0413335385694314e-06,3.0683956513433794e+22,24126193.73998462,4390770892.16388,1
coupling_heterogeneo_S3_seed1006,SAAug,123,124,10.000506517402776,9.04044768599736e-19,8.71777272195317e-07,1.1061959390454127e+19,11471400.822619997,1747768163.4119189,1
coupling_heterogeneo_S3_seed1006,SAMat,123,124,10.000657115814278,1.408589509344406e-17,8.482959688410452e-06,7.099766858599452e+17,1178911.3096313928,74487513.3532592,1
coupling_heterogeneo_S3_seed1007,Base,123,126,7103.140247719887,1.2256415423571959e-14,1.3783524937800685e-05,5.79544671279572e+17,515335538.60666305,30280984.644412447,1
coupling_heterogeneo_S3_seed1007,Flat,123,126,1178.0960819503184,1.3134654047056469e-15,2.0789673672301858e-07,8.969372757970239e+17,5666736768.07106,30280984.644415546,1
coupling_heterogeneo_S3_seed1007,Ruiz,123,126,25.06034186990525,2.211724535864354e-16,2.568694324812337e-07,1.1330679505308075e+17,97560623.0287292,675391963.0888265,1
coupling_heterogeneo_S3_seed1007,SAAug,123,126,10.000506659898985,9.070427853843426e-16,2.0789664737238688e-07,1.1025396840195862e+16,48103260.85723721,269519760.7368726,1
coupling_heterogeneo_S3_seed1007,SAMat,123,126,10.000601587060652,3.147223973993853e-15,2.5925300689281914e-06,3177594499056197.5,3857467.9256064016,303415958.50519764,1
coupling_heterogeneo_S3_seed1008,Base,123,124,5590.26572010616,1.2863913483432525e-16,0.0010152809270644646,4.345695986921773e+19,5506126.995086563,329261798.85933334,1
coupling_heterogeneo_S3_seed1008,Flat,123,124,616.8730363631691,6.504339050136323e-17,1.9723149393860212e-05,9.484023382056632e+18,31276599.08894676,32637209.736475494,1
coupling_heterogeneo_S3_seed1008,Ruiz,123,124,24.288558178097503,1.8374915116911643e-19,1.8905613714079623e-05,1.321832401595322e+20,1284727.306155051,7258474503.123752,1
coupling_heterogeneo_S3_seed1008,SAAug,123,124,10.000506554782213,1.3898147884729655e-16,1.96751472135535e-05,7.19556781070814e+16,508281.1552176456,2988583098.527333,1
coupling_heterogeneo_S3_seed1008,SAMat,123,124,10.000693915171848,2.4360959090282897e-16,0.0001626312397505417,4.105213541925337e+16,61493.06818611113,367841822.278088,1
coupling_heterogeneo_S3_seed1009,Base,123,126,13476.782793984528,4.168864379714298e-15,0.000264350013202022,3.2327227672750833e+18,50980828.90461322,64556117.8554466,1
coupling_heterogeneo_S3_seed1009,Flat,123,126,1478.029389238843,1.2388010742366297e-16,4.498491563643753e-06,1.1931127765203382e+19,328561111.7255597,64556117.855441555,1
coupling_heterogeneo_S3_seed1009,Ruiz,123,126,24.2651353637802,2.3225608139605404e-18,4.667599054740244e-06,1.0447578043135132e+19,5198633.190041765,1163985704.718366,1
coupling_heterogeneo_S3_seed1009,SAAug,123,126,10.000505844520038,4.465066145280202e-16,4.4950223906154654e-06,2.2397217687561184e+16,2224795.557281029,603930056.1183585,1
coupling_heterogeneo_S3_seed1009,SAMat,123,126,10.000563105094043,2.201311357024253e-16,4.902588211006442e-05,4.543002548541279e+16,203985.378226189,646503678.0467024,1
coupling_heterogeneo_S6_seed1000,Base,123,125,369807.4619278425,1.0490962793620937e-18,1.2908389542442128e-06,3.525009755565096e+23,286486134240.0107,555112187343.8779,1
coupling_heterogeneo_S6_seed1000,Flat,123,125,147500.71900648836,9.704958401478011e-19,9.428894812899006e-07,1.5198490596726807e+23,156434791068.72952,555112187341.5135,1
coupling_heterogeneo_S6_seed1000,Ruiz,123,125,369807.4618485044,6.764276185821702e-22,1.2027206895242695e-06,5.4670662712389144e+26,307475763133.9825,555112187343.8779,1
